order_id,customer_id,product_id,category,channel,quantity,unit_price,discount_pct,status,order_date,region,customer_age,is_new_customer,gross_revenue,discount_amount,net_revenue,year,month,quarter,week,day_of_week,is_revenue_positive
ORD-000014,CUST-1194,PROD-0115,Alimentos,social,6,2880.36,5.0,completed,2023-08-27,MTY,35,False,17282.16,864.1080000000001,16418.052,2023,8,3,34,Sunday,True
ORD-000015,CUST-1359,PROD-0295,Ropa,social,5,2198.56,0.0,completed,2024-06-01,CUN,44,False,10992.8,0.0,10992.8,2024,6,2,22,Saturday,True
ORD-000016,CUST-1079,PROD-0034,Hogar,marketplace,2,681.47,10.0,cancelled,2023-01-28,CUN,33,False,1362.94,136.294,1226.646,2023,1,1,4,Saturday,False
ORD-000017,CUST-0090,PROD-0176,Juguetes,marketplace,8,2074.97,0.0,completed,2023-07-23,CUN,38,False,16599.76,0.0,16599.76,2023,7,3,29,Sunday,True
ORD-000018,CUST-0524,PROD-0194,Hogar,mobile,6,1804.17,0.0,cancelled,2024-03-05,MTY,22,False,10825.02,0.0,10825.02,2024,3,1,10,Tuesday,False
ORD-000019,CUST-0349,PROD-0196,Belleza,marketplace,2,1549.01,0.0,cancelled,2023-08-14,MTY,46,False,3098.02,0.0,3098.02,2023,8,3,33,Monday,False
ORD-000020,CUST-0124,PROD-0288,Libros,mobile,5,3667.85,5.0,returned,2024-04-04,PUE,64,False,18339.25,916.9625,17422.2875,2024,4,2,14,Thursday,False
ORD-000021,CUST-0582,PROD-0224,Belleza,social,1,3518.59,10.0,completed,2023-10-12,CDMX,54,False,3518.59,351.85900000000004,3166.731,2023,10,4,41,Thursday,True
ORD-000022,CUST-0412,PROD-0120,Belleza,marketplace,6,2965.65,0.0,completed,2023-01-07,GDL,60,False,17793.9,0.0,17793.9,2023,1,1,1,Saturday,True
ORD-000023,CUST-1427,PROD-0115,Belleza,social,9,4696.39,0.0,pending,2023-06-13,QRO,39,False,42267.51,0.0,42267.51,2023,6,2,24,Tuesday,False
ORD-000024,CUST-1266,PROD-0133,Belleza,marketplace,1,1781.78,0.0,pending,2024-03-08,CUN,31,False,1781.78,0.0,1781.78,2024,3,1,10,Friday,False
ORD-000025,CUST-0556,PROD-0060,Ropa,social,3,1256.82,10.0,returned,2023-12-15,GDL,36,False,3770.46,377.046,3393.414,2023,12,4,50,Friday,False
ORD-000026,CUST-0109,PROD-0149,Ropa,social,7,3296.72,10.0,returned,2023-10-12,MTY,52,False,23077.039999999997,2307.7039999999997,20769.335999999996,2023,10,4,41,Thursday,False
ORD-000027,CUST-0953,PROD-0045,Libros,social,4,1034.13,0.0,returned,2023-06-09,CUN,41,False,4136.52,0.0,4136.52,2023,6,2,23,Friday,False
ORD-000028,CUST-1341,PROD-0058,Deportes,web,9,1609.3,0.0,returned,2023-08-09,GDL,59,True,14483.699999999999,0.0,14483.699999999999,2023,8,3,32,Wednesday,False
ORD-000029,CUST-0018,PROD-0046,Ropa,social,3,1161.78,15.0,returned,2023-12-11,PUE,23,False,3485.34,522.801,2962.539,2023,12,4,50,Monday,False
ORD-000030,CUST-0137,PROD-0175,Alimentos,mobile,5,392.31,0.0,returned,2023-04-15,CUN,20,False,1961.55,0.0,1961.55,2023,4,2,15,Saturday,False
ORD-000031,CUST-0796,PROD-0097,Deportes,marketplace,3,4146.12,0.0,cancelled,2023-04-05,CDMX,51,False,12438.36,0.0,12438.36,2023,4,2,14,Wednesday,False
ORD-000032,CUST-1353,PROD-0060,Hogar,mobile,7,1309.98,0.0,completed,2024-01-25,CUN,62,True,9169.86,0.0,9169.86,2024,1,1,4,Thursday,True
ORD-000033,CUST-0556,PROD-0294,Electronica,web,5,2391.49,5.0,completed,2023-04-10,CUN,67,False,11957.449999999999,597.8725,11359.5775,2023,4,2,15,Monday,True
ORD-000034,CUST-1358,PROD-0189,Alimentos,mobile,9,264.41,5.0,cancelled,2024-01-03,PUE,19,True,2379.69,118.98450000000001,2260.7055,2024,1,1,1,Wednesday,False
ORD-000035,CUST-1352,PROD-0066,Alimentos,marketplace,7,3511.73,10.0,returned,2023-12-19,PUE,32,False,24582.11,2458.2110000000002,22123.899,2023,12,4,51,Tuesday,False
ORD-000036,CUST-0738,PROD-0161,Ropa,marketplace,2,1686.28,0.0,returned,2023-09-28,CUN,54,False,3372.56,0.0,3372.56,2023,9,3,39,Thursday,False
ORD-000037,CUST-0221,PROD-0195,Ropa,marketplace,4,3736.45,10.0,returned,2023-02-14,QRO,32,False,14945.8,1494.58,13451.22,2023,2,1,7,Tuesday,False
ORD-000038,CUST-0040,PROD-0296,Deportes,web,9,2091.4,0.0,returned,2024-04-15,GDL,49,False,18822.600000000002,0.0,18822.600000000002,2024,4,2,16,Monday,False
ORD-000039,CUST-0600,PROD-0001,Electronica,web,2,1018.99,15.0,completed,2023-05-08,MTY,38,False,2037.98,305.697,1732.283,2023,5,2,19,Monday,True
ORD-000040,CUST-1330,PROD-0160,Libros,marketplace,9,2590.22,5.0,cancelled,2024-01-23,MTY,34,True,23311.98,1165.599,22146.381,2024,1,1,4,Tuesday,False
ORD-000041,CUST-0792,PROD-0032,Hogar,marketplace,5,696.0,5.0,pending,2023-03-22,GDL,51,False,3480.0,174.0,3306.0,2023,3,1,12,Wednesday,False
ORD-000042,CUST-0474,PROD-0275,Ropa,web,2,2230.67,0.0,returned,2023-10-28,QRO,49,False,4461.34,0.0,4461.34,2023,10,4,43,Saturday,False
ORD-000043,CUST-0780,PROD-0098,Ropa,marketplace,4,1620.66,0.0,completed,2024-01-06,CUN,67,False,6482.64,0.0,6482.64,2024,1,1,1,Saturday,True
ORD-000044,CUST-1042,PROD-0199,Deportes,mobile,7,4564.2,5.0,completed,2023-07-16,CDMX,64,False,31949.399999999998,1597.47,30351.929999999997,2023,7,3,28,Sunday,True
ORD-000045,CUST-1454,PROD-0217,Libros,social,8,351.6,10.0,completed,2023-03-13,MTY,69,False,2812.8,281.28,2531.5200000000004,2023,3,1,11,Monday,True
ORD-000046,CUST-0204,PROD-0164,Juguetes,mobile,3,3485.39,0.0,completed,2023-02-16,CDMX,40,False,10456.17,0.0,10456.17,2023,2,1,7,Thursday,True
ORD-000047,CUST-0647,PROD-0187,Alimentos,marketplace,1,954.62,25.0,completed,2023-08-22,QRO,52,False,954.62,238.655,715.965,2023,8,3,34,Tuesday,True
ORD-000048,CUST-0993,PROD-0065,Hogar,marketplace,4,1629.27,25.0,returned,2023-10-24,GDL,54,False,6517.08,1629.27,4887.8099999999995,2023,10,4,43,Tuesday,False
ORD-000049,CUST-1223,PROD-0267,Alimentos,social,2,2106.79,5.0,cancelled,2023-03-23,PUE,60,False,4213.58,210.679,4002.901,2023,3,1,12,Thursday,False
ORD-000050,CUST-1089,PROD-0114,Electronica,social,8,4544.67,25.0,cancelled,2023-08-27,CDMX,58,True,36357.36,9089.34,27268.02,2023,8,3,34,Sunday,False
ORD-000051,CUST-0181,PROD-0055,Deportes,marketplace,4,1250.76,5.0,returned,2023-04-14,CDMX,54,False,5003.04,250.15200000000002,4752.888,2023,4,2,15,Friday,False
ORD-000052,CUST-0382,PROD-0203,Deportes,social,2,501.98,0.0,returned,2024-01-25,CDMX,50,False,1003.96,0.0,1003.96,2024,1,1,4,Thursday,False
ORD-000053,CUST-0408,PROD-0005,Juguetes,mobile,6,1627.51,0.0,completed,2023-10-12,CUN,42,True,9765.06,0.0,9765.06,2023,10,4,41,Thursday,True
ORD-000054,CUST-1026,PROD-0276,Electronica,web,6,568.15,5.0,returned,2024-04-09,CDMX,63,True,3408.8999999999996,170.445,3238.4549999999995,2024,4,2,15,Tuesday,False
ORD-000055,CUST-0938,PROD-0236,Electronica,mobile,4,686.55,0.0,returned,2024-01-09,CDMX,54,True,2746.2,0.0,2746.2,2024,1,1,2,Tuesday,False
ORD-000056,CUST-1149,PROD-0162,Hogar,web,6,2890.56,25.0,returned,2023-06-16,CUN,57,False,17343.36,4335.84,13007.52,2023,6,2,24,Friday,False
ORD-000057,CUST-1460,PROD-0075,Juguetes,social,2,351.46,0.0,cancelled,2024-01-15,CUN,38,False,702.92,0.0,702.92,2024,1,1,3,Monday,False
ORD-000058,CUST-0045,PROD-0152,Belleza,marketplace,2,203.11,0.0,returned,2023-12-30,CDMX,63,False,406.22,0.0,406.22,2023,12,4,52,Saturday,False
ORD-000059,CUST-0082,PROD-0113,Hogar,mobile,4,3586.35,15.0,pending,2023-08-03,CDMX,65,True,14345.4,2151.81,12193.59,2023,8,3,31,Thursday,False
ORD-000060,CUST-0507,PROD-0256,Juguetes,mobile,8,1840.15,0.0,completed,2023-10-01,MTY,55,False,14721.2,0.0,14721.2,2023,10,4,39,Sunday,True
ORD-000061,CUST-1085,PROD-0234,Alimentos,marketplace,7,670.61,0.0,returned,2023-03-15,PUE,57,False,4694.27,0.0,4694.27,2023,3,1,11,Wednesday,False
ORD-000062,CUST-0625,PROD-0076,Deportes,web,9,1305.38,10.0,returned,2023-06-25,CDMX,51,True,11748.420000000002,1174.842,10573.578000000001,2023,6,2,25,Sunday,False
ORD-000063,CUST-0684,PROD-0146,Electronica,marketplace,8,3228.33,0.0,returned,2024-06-30,PUE,36,False,25826.64,0.0,25826.64,2024,6,2,26,Sunday,False
ORD-000064,CUST-1004,PROD-0075,Libros,mobile,5,1413.91,0.0,cancelled,2023-09-08,CDMX,44,False,7069.55,0.0,7069.55,2023,9,3,36,Friday,False
ORD-000065,CUST-0806,PROD-0018,Libros,social,2,2497.88,0.0,cancelled,2023-06-17,QRO,26,False,4995.76,0.0,4995.76,2023,6,2,24,Saturday,False
ORD-000066,CUST-0322,PROD-0164,Hogar,web,5,652.39,5.0,pending,2024-04-18,PUE,22,False,3261.95,163.0975,3098.8525,2024,4,2,16,Thursday,False
ORD-000067,CUST-0038,PROD-0159,Belleza,marketplace,8,2961.06,25.0,cancelled,2024-01-24,CUN,22,True,23688.48,5922.12,17766.36,2024,1,1,4,Wednesday,False
ORD-000068,CUST-0711,PROD-0258,Ropa,web,9,1614.58,15.0,cancelled,2023-10-04,QRO,42,False,14531.22,2179.683,12351.537,2023,10,4,40,Wednesday,False
ORD-000069,CUST-1402,PROD-0064,Deportes,marketplace,9,3153.49,0.0,returned,2023-08-13,MTY,43,True,28381.409999999996,0.0,28381.409999999996,2023,8,3,32,Sunday,False
ORD-000070,CUST-0721,PROD-0141,Hogar,mobile,1,4051.55,0.0,returned,2023-11-29,MTY,36,True,4051.55,0.0,4051.55,2023,11,4,48,Wednesday,False
ORD-000071,CUST-0728,PROD-0294,Deportes,mobile,9,3077.65,5.0,cancelled,2023-02-27,CUN,47,False,27698.850000000002,1384.9425,26313.9075,2023,2,1,9,Monday,False
ORD-000072,CUST-1281,PROD-0245,Juguetes,mobile,7,1513.95,25.0,returned,2023-08-23,QRO,53,False,10597.65,2649.4125,7948.237499999999,2023,8,3,34,Wednesday,False
ORD-000073,CUST-0620,PROD-0111,Alimentos,social,9,1315.93,0.0,pending,2023-02-02,CUN,65,True,11843.37,0.0,11843.37,2023,2,1,5,Thursday,False
ORD-000074,CUST-0484,PROD-0254,Electronica,web,8,1670.73,0.0,cancelled,2023-11-20,QRO,65,True,13365.84,0.0,13365.84,2023,11,4,47,Monday,False
ORD-000075,CUST-1027,PROD-0150,Alimentos,marketplace,1,864.87,10.0,cancelled,2024-02-15,CDMX,33,False,864.87,86.48700000000001,778.383,2024,2,1,7,Thursday,False
ORD-000076,CUST-0565,PROD-0193,Ropa,marketplace,8,946.8,25.0,pending,2023-10-02,GDL,24,False,7574.4,1893.6,5680.799999999999,2023,10,4,40,Monday,False
ORD-000077,CUST-0127,PROD-0031,Deportes,marketplace,8,3963.92,0.0,pending,2023-03-09,CDMX,35,False,31711.36,0.0,31711.36,2023,3,1,10,Thursday,False
ORD-000078,CUST-1282,PROD-0171,Belleza,mobile,3,1954.43,0.0,completed,2023-08-05,GDL,38,False,5863.29,0.0,5863.29,2023,8,3,31,Saturday,True
ORD-000079,CUST-0528,PROD-0079,Hogar,web,1,2208.18,0.0,returned,2023-11-19,CDMX,48,True,2208.18,0.0,2208.18,2023,11,4,46,Sunday,False
ORD-000080,CUST-0793,PROD-0108,Hogar,social,8,2990.54,0.0,cancelled,2023-08-06,CDMX,18,False,23924.32,0.0,23924.32,2023,8,3,31,Sunday,False
ORD-000081,CUST-0061,PROD-0116,Juguetes,social,3,2968.78,10.0,pending,2024-05-26,CUN,20,True,8906.34,890.6339999999999,8015.706,2024,5,2,21,Sunday,False
ORD-000082,CUST-1137,PROD-0027,Electronica,mobile,3,383.52,10.0,pending,2024-02-10,CUN,48,False,1150.56,115.05599999999998,1035.504,2024,2,1,6,Saturday,False
ORD-000083,CUST-0574,PROD-0092,Ropa,social,1,4166.13,10.0,returned,2024-04-14,QRO,42,True,4166.13,416.61300000000006,3749.517,2024,4,2,15,Sunday,False
ORD-000084,CUST-0462,PROD-0250,Ropa,mobile,5,927.77,5.0,cancelled,2023-05-27,QRO,25,False,4638.85,231.9425,4406.9075,2023,5,2,21,Saturday,False
ORD-000085,CUST-0311,PROD-0201,Libros,web,7,3629.2,0.0,returned,2023-09-29,GDL,18,False,25404.399999999998,0.0,25404.399999999998,2023,9,3,39,Friday,False
ORD-000086,CUST-0700,PROD-0154,Electronica,web,9,3874.72,0.0,completed,2023-05-23,CUN,24,False,34872.479999999996,0.0,34872.479999999996,2023,5,2,21,Tuesday,True
ORD-000087,CUST-0805,PROD-0082,Hogar,web,7,3588.75,0.0,cancelled,2023-09-10,GDL,24,True,25121.25,0.0,25121.25,2023,9,3,36,Sunday,False
ORD-000088,CUST-1346,PROD-0012,Juguetes,web,9,2915.94,15.0,returned,2023-09-27,QRO,25,False,26243.46,3936.519,22306.941,2023,9,3,39,Wednesday,False
ORD-000089,CUST-0282,PROD-0281,Juguetes,social,8,122.31,0.0,pending,2024-03-14,MTY,36,False,978.48,0.0,978.48,2024,3,1,11,Thursday,False
ORD-000090,CUST-0180,PROD-0201,Electronica,marketplace,2,1833.86,0.0,pending,2024-02-13,CUN,34,False,3667.72,0.0,3667.72,2024,2,1,7,Tuesday,False
ORD-000091,CUST-1495,PROD-0173,Hogar,mobile,1,3043.96,0.0,pending,2024-01-06,PUE,28,False,3043.96,0.0,3043.96,2024,1,1,1,Saturday,False
ORD-000092,CUST-0783,PROD-0217,Ropa,mobile,7,1967.88,5.0,returned,2023-08-13,QRO,64,False,13775.16,688.758,13086.402,2023,8,3,32,Sunday,False
ORD-000093,CUST-1067,PROD-0243,Deportes,web,7,4324.23,5.0,cancelled,2023-05-22,QRO,58,False,30269.609999999997,1513.4805,28756.129499999995,2023,5,2,21,Monday,False
ORD-000094,CUST-1389,PROD-0179,Electronica,web,8,1578.57,15.0,cancelled,2024-06-05,CDMX,66,False,12628.56,1894.2839999999999,10734.276,2024,6,2,23,Wednesday,False
ORD-000095,CUST-1255,PROD-0201,Libros,marketplace,5,1503.0,0.0,returned,2024-05-20,CUN,28,False,7515.0,0.0,7515.0,2024,5,2,21,Monday,False
ORD-000096,CUST-1282,PROD-0201,Electronica,social,3,1366.69,10.0,pending,2023-04-04,CUN,55,True,4100.07,410.00699999999995,3690.0629999999996,2023,4,2,14,Tuesday,False
ORD-000097,CUST-1406,PROD-0037,Electronica,web,8,1697.27,0.0,returned,2023-02-18,CUN,58,True,13578.16,0.0,13578.16,2023,2,1,7,Saturday,False
ORD-000098,CUST-0466,PROD-0271,Libros,marketplace,6,2809.15,0.0,cancelled,2023-04-23,QRO,67,False,16854.9,0.0,16854.9,2023,4,2,16,Sunday,False
ORD-000099,CUST-0855,PROD-0145,Ropa,marketplace,3,3549.73,20.0,pending,2023-06-06,PUE,69,False,10649.19,2129.838,8519.352,2023,6,2,23,Tuesday,False
ORD-000100,CUST-0493,PROD-0145,Deportes,mobile,1,3329.71,0.0,completed,2023-06-13,PUE,19,False,3329.71,0.0,3329.71,2023,6,2,24,Tuesday,True
ORD-000101,CUST-1174,PROD-0100,Electronica,mobile,3,4048.2,10.0,cancelled,2024-03-08,GDL,21,False,12144.599999999999,1214.4599999999998,10930.14,2024,3,1,10,Friday,False
ORD-000102,CUST-0313,PROD-0281,Ropa,marketplace,5,4435.27,0.0,returned,2023-03-07,GDL,67,False,22176.350000000002,0.0,22176.350000000002,2023,3,1,10,Tuesday,False
ORD-000103,CUST-0874,PROD-0202,Electronica,marketplace,3,4089.59,5.0,pending,2024-01-30,CUN,45,False,12268.77,613.4385000000001,11655.3315,2024,1,1,5,Tuesday,False
ORD-000104,CUST-0640,PROD-0050,Alimentos,mobile,1,143.78,15.0,pending,2024-01-26,GDL,50,False,143.78,21.566999999999997,122.21300000000001,2024,1,1,4,Friday,False
ORD-000105,CUST-1240,PROD-0068,Libros,social,5,3692.79,20.0,cancelled,2024-04-24,CDMX,28,False,18463.95,3692.79,14771.16,2024,4,2,17,Wednesday,False
ORD-000106,CUST-0675,PROD-0166,Belleza,social,7,1081.58,15.0,cancelled,2024-06-25,CDMX,20,False,7571.0599999999995,1135.6589999999999,6435.401,2024,6,2,26,Tuesday,False
ORD-000107,CUST-0920,PROD-0298,Libros,marketplace,7,707.99,5.0,completed,2023-09-15,MTY,57,False,4955.93,247.7965,4708.1335,2023,9,3,37,Friday,True
ORD-000108,CUST-1111,PROD-0028,Alimentos,marketplace,9,3210.52,0.0,cancelled,2023-01-12,CUN,22,False,28894.68,0.0,28894.68,2023,1,1,2,Thursday,False
ORD-000109,CUST-0270,PROD-0156,Deportes,social,3,1632.73,5.0,pending,2023-04-28,MTY,69,False,4898.1900000000005,244.90950000000004,4653.280500000001,2023,4,2,17,Friday,False
ORD-000110,CUST-0424,PROD-0235,Alimentos,web,7,332.73,5.0,pending,2023-10-01,QRO,38,False,2329.11,116.45550000000001,2212.6545,2023,10,4,39,Sunday,False
ORD-000111,CUST-1337,PROD-0084,Belleza,web,1,731.27,0.0,returned,2023-12-15,CDMX,39,False,731.27,0.0,731.27,2023,12,4,50,Friday,False
ORD-000112,CUST-0284,PROD-0296,Juguetes,social,4,54.6,5.0,cancelled,2023-04-25,PUE,54,False,218.4,10.92,207.48000000000002,2023,4,2,17,Tuesday,False
ORD-000113,CUST-1190,PROD-0071,Alimentos,mobile,4,4520.96,15.0,returned,2023-10-28,CUN,28,True,18083.84,2712.5759999999996,15371.264000000001,2023,10,4,43,Saturday,False
ORD-000114,CUST-1109,PROD-0227,Alimentos,mobile,5,171.86,5.0,completed,2024-03-21,PUE,61,True,859.3000000000001,42.965,816.335,2024,3,1,12,Thursday,True
ORD-000115,CUST-1401,PROD-0248,Hogar,web,7,1086.81,0.0,pending,2023-06-11,CUN,39,False,7607.67,0.0,7607.67,2023,6,2,23,Sunday,False
ORD-000116,CUST-0415,PROD-0150,Alimentos,social,7,2110.5,20.0,pending,2024-04-09,GDL,58,False,14773.5,2954.7,11818.8,2024,4,2,15,Tuesday,False
ORD-000117,CUST-0283,PROD-0075,Juguetes,marketplace,4,1815.03,0.0,cancelled,2023-01-04,CUN,30,True,7260.12,0.0,7260.12,2023,1,1,1,Wednesday,False
ORD-000118,CUST-0633,PROD-0108,Deportes,mobile,7,4563.04,0.0,completed,2023-09-27,PUE,69,False,31941.28,0.0,31941.28,2023,9,3,39,Wednesday,True
ORD-000119,CUST-1411,PROD-0112,Hogar,mobile,3,249.43,10.0,cancelled,2024-05-27,MTY,20,False,748.29,74.829,673.461,2024,5,2,22,Monday,False
ORD-000120,CUST-1445,PROD-0101,Belleza,social,6,2585.46,0.0,pending,2023-07-02,MTY,30,True,15512.76,0.0,15512.76,2023,7,3,26,Sunday,False
ORD-000121,CUST-1073,PROD-0005,Hogar,social,2,3418.37,10.0,cancelled,2024-06-03,CUN,45,False,6836.74,683.674,6153.066,2024,6,2,23,Monday,False
ORD-000122,CUST-0277,PROD-0186,Libros,social,9,4661.9,0.0,returned,2023-04-19,PUE,28,False,41957.1,0.0,41957.1,2023,4,2,16,Wednesday,False
ORD-000123,CUST-0881,PROD-0295,Belleza,mobile,5,3120.84,0.0,returned,2023-11-02,CDMX,28,True,15604.2,0.0,15604.2,2023,11,4,44,Thursday,False
ORD-000124,CUST-0298,PROD-0053,Hogar,social,6,4028.59,0.0,pending,2024-06-03,QRO,38,False,24171.54,0.0,24171.54,2024,6,2,23,Monday,False
ORD-000125,CUST-1344,PROD-0076,Juguetes,social,4,464.44,25.0,cancelled,2023-07-23,GDL,69,False,1857.76,464.44,1393.32,2023,7,3,29,Sunday,False
ORD-000126,CUST-1157,PROD-0193,Electronica,marketplace,7,1960.4,5.0,returned,2023-06-06,GDL,38,False,13722.800000000001,686.14,13036.660000000002,2023,6,2,23,Tuesday,False
ORD-000127,CUST-0324,PROD-0219,Libros,social,9,1901.04,0.0,cancelled,2024-01-18,CDMX,24,False,17109.36,0.0,17109.36,2024,1,1,3,Thursday,False
ORD-000128,CUST-0651,PROD-0087,Belleza,mobile,7,4437.13,0.0,pending,2023-06-15,QRO,34,True,31059.91,0.0,31059.91,2023,6,2,24,Thursday,False
ORD-000129,CUST-0139,PROD-0029,Hogar,mobile,1,799.29,0.0,cancelled,2024-06-27,QRO,65,False,799.29,0.0,799.29,2024,6,2,26,Thursday,False
ORD-000130,CUST-1142,PROD-0050,Electronica,social,1,801.84,5.0,pending,2023-01-01,GDL,31,False,801.84,40.092000000000006,761.748,2023,1,1,52,Sunday,False
ORD-000131,CUST-1092,PROD-0183,Alimentos,web,9,1676.36,0.0,pending,2023-11-28,GDL,50,True,15087.24,0.0,15087.24,2023,11,4,48,Tuesday,False
ORD-000132,CUST-1474,PROD-0243,Libros,web,9,319.61,5.0,cancelled,2024-05-15,CDMX,28,False,2876.4900000000002,143.8245,2732.6655,2024,5,2,20,Wednesday,False
ORD-000133,CUST-0243,PROD-0092,Deportes,marketplace,4,953.17,5.0,returned,2023-01-20,PUE,30,True,3812.68,190.634,3622.046,2023,1,1,3,Friday,False
ORD-000134,CUST-0378,PROD-0027,Libros,web,9,4827.79,15.0,cancelled,2023-04-25,GDL,18,False,43450.11,6517.516500000001,36932.5935,2023,4,2,17,Tuesday,False
ORD-000135,CUST-0651,PROD-0061,Hogar,web,3,2169.51,10.0,returned,2024-01-07,CDMX,51,True,6508.530000000001,650.8530000000001,5857.677000000001,2024,1,1,1,Sunday,False
ORD-000136,CUST-0299,PROD-0264,Juguetes,marketplace,7,3178.5,5.0,pending,2023-11-11,QRO,26,False,22249.5,1112.475,21137.025,2023,11,4,45,Saturday,False
ORD-000137,CUST-1490,PROD-0174,Deportes,mobile,6,3644.25,0.0,returned,2023-09-03,CUN,30,False,21865.5,0.0,21865.5,2023,9,3,35,Sunday,False
ORD-000138,CUST-0061,PROD-0223,Libros,social,8,1866.46,10.0,cancelled,2023-03-01,PUE,54,False,14931.68,1493.168,13438.512,2023,3,1,9,Wednesday,False
ORD-000139,CUST-0653,PROD-0077,Libros,web,9,778.77,5.0,returned,2023-09-04,MTY,47,False,7008.93,350.4465,6658.4835,2023,9,3,36,Monday,False
ORD-000140,CUST-0848,PROD-0207,Libros,web,5,1072.58,0.0,returned,2023-03-22,CDMX,58,False,5362.9,0.0,5362.9,2023,3,1,12,Wednesday,False
ORD-000141,CUST-0843,PROD-0126,Alimentos,marketplace,1,1600.67,20.0,cancelled,2023-03-29,PUE,62,False,1600.67,320.134,1280.536,2023,3,1,13,Wednesday,False
ORD-000142,CUST-0622,PROD-0018,Alimentos,marketplace,3,3198.54,0.0,returned,2024-05-12,PUE,54,True,9595.619999999999,0.0,9595.619999999999,2024,5,2,19,Sunday,False
ORD-000143,CUST-0908,PROD-0061,Alimentos,web,8,2021.49,0.0,pending,2023-03-12,CDMX,64,False,16171.92,0.0,16171.92,2023,3,1,10,Sunday,False
ORD-000144,CUST-1305,PROD-0124,Libros,web,6,83.73,0.0,pending,2024-06-29,CUN,24,False,502.38,0.0,502.38,2024,6,2,26,Saturday,False
ORD-000145,CUST-0561,PROD-0204,Alimentos,web,8,2640.87,20.0,returned,2023-05-09,CUN,31,False,21126.96,4225.392,16901.568,2023,5,2,19,Tuesday,False
ORD-000146,CUST-0312,PROD-0251,Juguetes,mobile,9,4611.49,5.0,cancelled,2023-05-12,CUN,65,False,41503.409999999996,2075.1704999999997,39428.239499999996,2023,5,2,19,Friday,False
ORD-000147,CUST-0385,PROD-0155,Juguetes,social,4,4069.78,15.0,completed,2024-05-01,CUN,23,True,16279.12,2441.8680000000004,13837.252,2024,5,2,18,Wednesday,True
ORD-000148,CUST-0219,PROD-0089,Juguetes,mobile,1,4134.8,0.0,cancelled,2023-06-19,GDL,51,False,4134.8,0.0,4134.8,2023,6,2,25,Monday,False
ORD-000149,CUST-0270,PROD-0193,Libros,mobile,1,3985.54,5.0,pending,2023-09-29,CDMX,33,False,3985.54,199.27700000000002,3786.263,2023,9,3,39,Friday,False
ORD-000150,CUST-0379,PROD-0046,Hogar,web,4,1652.47,0.0,completed,2024-06-24,GDL,68,True,6609.88,0.0,6609.88,2024,6,2,26,Monday,True
ORD-000151,CUST-0054,PROD-0238,Deportes,marketplace,7,3837.71,15.0,returned,2024-03-09,CUN,54,False,26863.97,4029.5955000000004,22834.3745,2024,3,1,10,Saturday,False
